Headline,Article Link
Moderna's Covid-19 vaccine patents under probe by US Defence Department: Media,"=HYPERLINK(""https://www.straitstimes.com/world/united-states/modernas-covid-19-vaccine-patents-probed-by-us-defence-department-media"")"
Biden hopes backing of former Republican staff members can help in key states,"=HYPERLINK(""https://www.straitstimes.com/world/united-states/biden-hopes-backing-of-former-republican-staffers-can-help-in-key-states"")"
'Learning pods': The magic words as kids return to school in US during Covid-19 pandemic,"=HYPERLINK(""https://www.straitstimes.com/world/united-states/learning-pods-the-magic-words-as-kids-return-to-school-in-us-during-covid-19"")"
Trump to visit Kenosha in wake of racial unrest,"=HYPERLINK(""https://www.straitstimes.com/world/united-states/trump-to-visit-kenosha-in-wake-of-racial-unrest"")"
The Big Story: Japan PM Shinzo Abe resigns; How can MICE sector survive Covid-19?,"=HYPERLINK(""https://www.straitstimes.com/multimedia/the-big-story-japan-pm-shinzo-abe-resigns-how-can-mice-sector-survive-covid-19"")"
"Today in Pictures, Aug 28, 2020","=HYPERLINK(""https://www.straitstimes.com/multimedia/photos/today-in-pictures-aug-28-today-in-pictures-aug-28-20202020"")"
In Pictures: Hurricane Laura lashes Louisiana leaving a path of destruction in its wake,"=HYPERLINK(""https://www.straitstimes.com/multimedia/photos/in-pictures-hurricane-laura-lashes-louisiana-leaving-a-path-of-destruction-in-its"")"
"The Big Story: Rise in minimum salaries of EP and S Pass holders, a boon or a bane?; Govt's focus on a more sustainable S'pore","=HYPERLINK(""https://www.straitstimes.com/multimedia/the-big-story-rise-in-minimum-salaries-of-ep-and-s-pass-holders-a-boon-or-a-bane-govts"")"
"Today in Pictures, Aug 27, 2020","=HYPERLINK(""https://www.straitstimes.com/multimedia/photos/today-in-pictures-aug-27-2020"")"
The Big Story Podcast: Know your rights if you are retrenched,"=HYPERLINK(""https://www.straitstimes.com/singapore/the-big-story-podcast-know-your-rights-if-you-are-retrenched"")"
The Big Story: Securing jobs tops Govt's agenda; S'pore-based firm under scrutiny for Newcastle bid and doctored Obama photos,"=HYPERLINK(""https://www.straitstimes.com/multimedia/the-big-story-securing-jobs-tops-govts-agenda-spore-based-firm-under-scrutiny-for"")"
